,plus_signs,minus_signs,orthants
1183,88,94,176
1184,96,86,150
1185,85,89,170
1186,100,95,192
1187,99,92,152
1188,83,90,164
1189,90,90,188
1190,88,94,156
1191,65,91,102
1192,95,98,196
1193,85,86,138
1194,87,81,146
1195,69,48,64
1196,95,89,198
1197,95,99,182
1198,61,67,120
1199,78,82,98
1200,110,83,184
1201,102,89,174
1202,90,91,182
1203,84,78,124
1204,101,88,188
1205,97,98,178
1206,98,98,176
1207,86,94,150
1208,82,100,168
1209,63,71,94
1210,80,87,144
1211,83,78,116
1212,51,47,60
1213,95,95,210
1214,86,72,124
1215,94,99,192
1216,77,73,124
1217,89,101,156
1218,64,65,100
1219,92,87,164
1220,96,107,174
1221,83,84,210
1222,84,104,134
1223,76,71,106
1224,91,83,138
1225,83,98,134
1226,89,71,116
1227,96,82,136
1228,89,96,154
1229,94,95,166
1230,93,93,156
1231,107,83,152
1232,91,96,152
1233,88,91,164
1234,108,84,186
1235,94,106,182
1236,69,80,104
1237,56,57,100
1238,100,88,148
1239,94,93,174
1240,87,114,202
1241,82,92,138
1242,100,87,178
1243,91,94,180
1244,109,94,200
1245,84,91,142
1246,96,77,164
1247,91,99,186
1248,63,50,96
1249,94,100,196
1250,60,61,110
1251,98,93,206
1252,105,81,146
1253,66,83,160
1254,98,97,198
1255,86,75,146
1256,85,86,182
1257,81,75,142
1258,94,92,196
1259,96,93,194
1260,78,81,170
1261,84,81,126
1262,95,94,190
1263,89,98,156
1264,78,74,92
1265,96,93,190
1266,65,68,96
1267,90,91,152
1268,70,70,100
1269,91,71,112
1270,95,95,182
1271,85,91,154
1272,68,75,106
1273,91,82,136
1274,91,97,138
1275,95,78,124
1276,88,98,154
1277,89,101,148
1278,51,54,80
1279,101,77,144
1280,87,95,146
1281,64,80,94
1282,76,78,132
1283,82,85,106
1284,84,80,152
1285,53,81,96
1286,102,70,122
1287,106,68,126
1288,93,97,166
1289,92,97,180
1290,79,79,136
1291,95,77,112
1292,61,54,80
1293,84,78,150
1294,99,89,138
1295,86,87,136
1296,92,99,164
1297,86,87,168
1298,94,94,168
1299,74,76,110
1300,87,85,140
1301,88,88,184
1302,82,72,108
1303,99,89,182
1304,95,109,200
1305,94,90,178
